station_name,station_address,city,state,country,locationId,slug,sensor,used_sensorname,minValue,maxValue,avgValue,points
Tp Ho Chi Minh Duong Nguyen Van Tao,"Tp Ho Chi Minh Duong Nguyen Van Tao, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,13756,vietnam/ho-chi-minh/ho-chi-minh-city/tp-ho-chi-minh-duong-nguyen-van-tao,O3,o3,27,46,38,30
Tp Ho Chi Minh Duong Nguyen Van Tao,"Tp Ho Chi Minh Duong Nguyen Van Tao, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,13756,vietnam/ho-chi-minh/ho-chi-minh-city/tp-ho-chi-minh-duong-nguyen-van-tao,PM2.5,pm25,11,56,24,30
Tp Ho Chi Minh Duong Nguyen Van Tao,"Tp Ho Chi Minh Duong Nguyen Van Tao, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,13756,vietnam/ho-chi-minh/ho-chi-minh-city/tp-ho-chi-minh-duong-nguyen-van-tao,PM10,pm10,31,76,50,30
Tp Ho Chi Minh Duong Nguyen Van Tao,"Tp Ho Chi Minh Duong Nguyen Van Tao, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,13756,vietnam/ho-chi-minh/ho-chi-minh-city/tp-ho-chi-minh-duong-nguyen-van-tao,AQI,aqi,50,137,75,30
Ho Chi Minh City US Consulate,"Ho Chi Minh City US Consulate, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,8767,vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,CO,co,270,640,410,30
Ho Chi Minh City US Consulate,"Ho Chi Minh City US Consulate, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,8767,vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,SO2,so2,8,29,18,30
Ho Chi Minh City US Consulate,"Ho Chi Minh City US Consulate, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,8767,vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,NO2,no2,5,31,18,30
Ho Chi Minh City US Consulate,"Ho Chi Minh City US Consulate, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,8767,vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,O3,o3,29,47,39,30
Ho Chi Minh City US Consulate,"Ho Chi Minh City US Consulate, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,8767,vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,PM2.5,pm25,11,56,23,30
Ho Chi Minh City US Consulate,"Ho Chi Minh City US Consulate, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,8767,vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,PM10,pm10,29,79,50,30
Ho Chi Minh City US Consulate,"Ho Chi Minh City US Consulate, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,8767,vietnam/ho-chi-minh/ho-chi-minh-city/ho-chi-minh-city-us-consulate,AQI,aqi,49,135,72,30
Duong Ngo Quang Tham,"Duong Ngo Quang Tham, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,-102721,vietnam/ho-chi-minh/ho-chi-minh-city/duong-ngo-quang-tham,CO,co,266,641,402,30
Duong Ngo Quang Tham,"Duong Ngo Quang Tham, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,-102721,vietnam/ho-chi-minh/ho-chi-minh-city/duong-ngo-quang-tham,SO2,so2,7,30,15,30
Duong Ngo Quang Tham,"Duong Ngo Quang Tham, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,-102721,vietnam/ho-chi-minh/ho-chi-minh-city/duong-ngo-quang-tham,NO2,no2,5,30,17,30
Duong Ngo Quang Tham,"Duong Ngo Quang Tham, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,-102721,vietnam/ho-chi-minh/ho-chi-minh-city/duong-ngo-quang-tham,O3,o3,27,46,38,30
Duong Ngo Quang Tham,"Duong Ngo Quang Tham, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,-102721,vietnam/ho-chi-minh/ho-chi-minh-city/duong-ngo-quang-tham,PM2.5,pm25,11,57,23,30
Duong Ngo Quang Tham,"Duong Ngo Quang Tham, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,-102721,vietnam/ho-chi-minh/ho-chi-minh-city/duong-ngo-quang-tham,PM10,pm10,31,75,50,30
Duong Ngo Quang Tham,"Duong Ngo Quang Tham, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,-102721,vietnam/ho-chi-minh/ho-chi-minh-city/duong-ngo-quang-tham,AQI,aqi,49,138,74,30
Long An TT van hoa huyen Can Giuoc,"Long An TT van hoa huyen Can Giuoc, Ho Chi Minh City, Ho Chi Minh, Vietnam",Ho Chi Minh City,Ho Chi Minh,Vietnam,13670,vietnam/ho-chi-minh/ho-chi-minh-city/long-an-tt-van-hoa-huyen-can-giuoc,CO,co,283,639,412,30
